﻿# Buff scan diff
# Old: Spooky @ 2026-05-20T07:20:17.9232119Z
# New: CalamityMod @ 2026-05-20T07:42:31.0337844Z
Change	StableKey	OldPhase	NewPhase	OldFile	NewFile	Note
Added	CalamityMod/PepperMinionBuff		Unknown		Buffs/Minion/PepperMinionBuff.cs	
Added	CalamityMod/PepperSpice		CombatVisual		Buffs/Debuff/PepperSpice.cs	
Added	CalamityMod/PeptoDebuff		Unknown		Buffs/Debuff/PeptoDebuff.cs	
Added	CalamityMod/PetscopBuff		CombatVisual		Buffs/Pets/PetscopBuff.cs	
Added	CalamityMod/PetscopMarvinBuff		CombatVisual		Buffs/Pets/PetscopMarvinBuff.cs	
Added	CalamityMod/PetscopTiaraBuff		CombatVisual		Buffs/Pets/PetscopTiaraBuff.cs	
Added	CalamityMod/PheromoneWhipDebuff		Unknown		Buffs/WhipDebuff/PheromoneWhipDebuff.cs	
Added	CalamityMod/PiercedBleedDebuff		CombatVisual		Buffs/Debuff/PiercedBleedDebuff.cs	
Added	CalamityMod/PiercedDebuff		Unknown		Buffs/Debuff/PiercedDebuff.cs	
Added	CalamityMod/Possessed		Unknown		Buffs/Debuff/Possessed.cs	
Added	CalamityMod/PumpkinHeadBuff		Unknown		Buffs/Minion/PumpkinHeadBuff.cs	
Added	CalamityMod/PuttyPetBuff		CombatVisual		Buffs/Pets/PuttyPetBuff.cs	
Added	CalamityMod/RatPetBuff		CombatVisual		Buffs/Pets/RatPetBuff.cs	
Added	CalamityMod/RotGourdMinionBuff		Unknown		Buffs/Minion/RotGourdMinionBuff.cs	
Added	CalamityMod/RotGourdPetBuff		CombatVisual		Buffs/Pets/RotGourdPetBuff.cs	
Added	CalamityMod/SadDebuff		Stat		Buffs/Debuff/SadDebuff.cs	
Added	CalamityMod/SamsonCuffDebuff		Unknown		Buffs/Debuff/SamsonCuffDebuff.cs	
Added	CalamityMod/SeaSpongeBuff		Unknown		Buffs/SeaSpongeBuff.cs	
Added	CalamityMod/SentientChainKnifeBleed		CombatVisual		Buffs/Debuff/SentientChainKnifeBleed.cs	
Added	CalamityMod/SentientHarpoonSlow		CombatVisual		Buffs/Debuff/SentientHarpoonSlow.cs	
Added	CalamityMod/SentientKeybrandDebuff		Unknown		Buffs/Debuff/SentientKeybrandDebuff.cs	
Added	CalamityMod/SentientLeatherWhipDebuff		Unknown		Buffs/WhipDebuff/SentientLeatherWhipDebuff.cs	
Added	CalamityMod/SentientOpticStaffBuff		Unknown		Buffs/Minion/SentientOpticStaffBuff.cs	
Added	CalamityMod/ShroomHopperBuff		CombatVisual		Buffs/Pets/ShroomHopperBuff.cs	
Added	CalamityMod/ShroomWhipDebuff		Unknown		Buffs/WhipDebuff/ShroomWhipDebuff.cs	
Added	CalamityMod/SinisterSnailBuff		CombatVisual		Buffs/Pets/SinisterSnailBuff.cs	
Added	CalamityMod/SkullEmojiBuff		CombatVisual		Buffs/Pets/SkullEmojiBuff.cs	
Added	CalamityMod/SkullFrenzyBuff		Stat		Buffs/SkullFrenzyBuff.cs	
Added	CalamityMod/SkullGoopBuff		CombatVisual		Buffs/Pets/SkullGoopBuff.cs	
