﻿RegisteredTypeName	ReferenceCount	SampleFiles
PrimeMinionBuff	1	FargowiltasSouls.Content.Patreon.Purified/PrimeStaff.cs
ProbesBuff	1	FargowiltasSouls.Content.Items.Accessories.Masomode/ProbeMinionEffect.cs
PungentEyeballBuff	1	FargowiltasSouls.Content.Items.Accessories.Masomode/LumpOfFlesh.cs
PungentGazeBuff	1	FargowiltasSouls.Content.Items.Accessories.Masomode/PungentEyeballCursor.cs
PurgedBuff	3	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantBoss.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/EmpressofLight.cs
PurifiedBuff	27	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Champions.Earth/EarthPalladOrb.cs|FargowiltasSouls.Content.Bosses.Champions.Earth/FlowerPetal.cs|FargowiltasSouls.Content.Bosses.Champions.Life/LesserFairy.cs|FargowiltasSouls.Content.Bosses.Champions.Life/LifeChampion.cs
RainbowSlimeBuff	1	FargowiltasSouls.Content.Items.Accessories.Masomode/RainbowSlimeMinion.cs
RainCDBuff	2	FargowiltasSouls.Content.Items.Accessories.Enchantments/RainUmbrellaEffect.cs|FargowiltasSouls.Content.Projectiles.Souls/RainUmbrella.cs
RefreshedBuff	1	FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
ReverseManaFlowBuff	11	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviLostSoul.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantFragment.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantPillar.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs
ROBBuff	1	FargowiltasSouls.Content.Patreon.DanielTheRobot/ROBGyro.cs
RoombaPetBuff	1	FargowiltasSouls.Content.Patreon.Gittle/RoombaPet.cs
RottingBuff	20	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviDevilScythe.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviSparklingLoveSmall.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/EaterofWorlds.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/PumpkingPart.cs
